;HORA;CALLE;NUMERO;LESIVIDAD*
0;14:00;CALL. CASTELLO / CALL. DON RAMON DE LA CRUZ;-;1.0
1;20:45;AVDA. GRAN VIA DE HORTALEZA / GTA. LUIS ROSALES;-;3.0
2;14:30;CALL. FELIPE ALVAREZ;10;7.0
3;12:45;AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA;-;7.0
4;12:45;AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA;-;14.0
5;10:30;CTRA. DEHESA DE LA VILLA;1;2.0
6;17:10;CALL. PRADILLO;26;7.0
7;13:35;CALL. CA�ON DEL RIO LOBOS; 7A;7.0
8;14:00;CALL. NUESTRA SE�ORA DE VALVERDE / CALL. DOCTOR JUAN BRAVO;-;7.0
9;20:55;CALL. PUERTO DE LA CRUZ VERDE;49;14.0
10;20:55;CALL. PUERTO DE LA CRUZ VERDE;49;7.0
11;13:03;C/ MONASTERIO DE ARLANZA-AV. SANTUARIO DE VALVERDE;-;2.0
12;14:50;CALL. ANTONIO DE LEYVA;84;7.0
13;12:50;CALL. GRAN VIA;66;
14;20:30;PASEO. JUAN ANTONIO VALLEJO-NAJERA BOTAS / CALL. GASOMETRO;-;2.0
15;16:00;CALL. GRAN VIA / CALL. SAN BERNARDO;-;14.0
16;22:45;POLIG. ALUCHE-AVENIDA DE LOS POBLADOS / CALL. SECOYA;-;6.0
17;22:25;CALL. GENERAL RICARDOS / GTA. VALLE DE ORO;-;7.0
18;22:15;AVDA. POBLADOS / CALL. SECOYA;-;2.0
19;13:03;AVDA. ENSANCHE DE VALLECAS;44;7.0
20;13:00;CALL. SANCHIDRIAN; 13A;14.0
21;22:45;CALL. MIGUEL ANGEL / PASEO. GENERAL MARTINEZ CAMPOS;-;
22;20:20;PASEO. EL PARDO;37;2.0
23;16:30;CALL. SANTA GENOVEVA / PLAZA. AGUSTIN GONZALEZ;-;14.0
24;11:10;CALL. FLORA;1;7.0
25;15:20;PLAZA. CONDE DEL VALLE DE SUCHIL;3;7.0
26;9:00;AVDA. DAROCA / CALL. NICOLAS SALMERON;-;6.0
27;19:50;CALL. ARENAL / CALL. DONADOS;-;7.0
28;16:15;CALL. SERRANO;141;14.0
29;6:00;CALL. DOCE DE OCTUBRE;26;2.0
30;18:05;AVDA. FERMINA SEVILLANO;42;
31;13:00;CALL. VILLABLANCA;11;2.0
32;7:55;CALL. GENOVA;2;2.0
33;21:10;PLAZA. INDEPENDENCIA / CALL. ALCALA;-;6.0
34;11:10;CTRA. EL PARDO A FUENCARRAL;0;2.0
