;N�  EXPEDIENTE;FECHA;HORA;CALLE;NUMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOL�GICO;TIPO VEH�CULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*;Unnamed: 13;Country;City;FixedAddress;FullAddress;latitude;longitude
0;2019S000659;01/01/2019;14:00;CALL. CASTELLO / CALL. DON RAMON DE LA CRUZ;1;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;DE 25 A 29 A�OS;Hombre;1.0;;Spain;Madrid;CALLE CASTELLO;CALLE CASTELLO 1, Madrid, Spain;40.42239;-3.68184
1;2019S000036;02/01/2019;20:45;AVDA. GRAN VIA DE HORTALEZA / GTA. LUIS ROSALES;1;HORTALEZA;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 70 A 74 A�OS;Hombre;3.0;;Spain;Madrid;AVENIDA GRAN VIA DE HORTALEZA;AVENIDA GRAN VIA DE HORTALEZA 1, Madrid, Spain;40.46478;-3.65926
2;2019S000133;03/01/2019;14:30;CALL. FELIPE ALVAREZ;11;VILLA DE VALLECAS;Alcance;Se desconoce;Bicicleta;Conductor;DE 15 A 17 A�OS;Hombre;7.0;;Spain;Madrid;CALLE FELIPE ALVAREZ;CALLE FELIPE ALVAREZ 11, Madrid, Spain;40.38233;-3.62241
3;2019S000132;03/01/2019;12:45;AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA;1;VILLA DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;DE 18 A 20 A�OS;Hombre;7.0;;Spain;Madrid;AVENIDA SANTA EUGENIA;AVENIDA SANTA EUGENIA 1, Madrid, Spain;40.38626;-3.60859
4;2019S000132;03/01/2019;12:45;AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA;1;VILLA DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;DE 21 A 24 A�OS;Hombre;14.0;;Spain;Madrid;AVENIDA SANTA EUGENIA;AVENIDA SANTA EUGENIA 1, Madrid, Spain;40.38626;-3.60859
5;2019S000045;03/01/2019;10:30;CTRA. DEHESA DE LA VILLA;1;MONCLOA-ARAVACA;Ca�da;Despejado;Bicicleta;Conductor;DE 15 A 17 A�OS;Hombre;2.0;;Spain;Madrid;CARRETERA DEHESA DE LA VILLA;CARRETERA DEHESA DE LA VILLA 1, Madrid, Spain;40.45481;-3.72313
6;2019S000306;04/01/2019;17:10;CALL. PRADILLO;26;CHAMART�N;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 A�OS;Hombre;7.0;;Spain;Madrid;CALLE PRADILLO;CALLE PRADILLO 26, Madrid, Spain;40.44867;-3.67335
7;2019S000641;04/01/2019;13:35;CALL. CA�ON DEL RIO LOBOS; 7A;MORATALAZ;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 65 A 69 A�OS;Hombre;7.0;;Spain;Madrid;CALLE CA�ON DEL RIO LOBOS;CALLE CA�ON DEL RIO LOBOS  7A, Madrid, Spain;40.40674;-3.63084
9;2019S002373;08/01/2019;20:55;CALL. PUERTO DE LA CRUZ VERDE;49;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Conductor;DE 45 A 49 A�OS;Hombre;14.0;;Spain;Madrid;CALLE PUERTO DE LA CRUZ VERDE;CALLE PUERTO DE LA CRUZ VERDE 49, Madrid, Spain;40.3859;-3.68597
10;2019S002373;08/01/2019;20:55;CALL. PUERTO DE LA CRUZ VERDE;49;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Peat�n;DE 35 A 39 A�OS;Hombre;7.0;;Spain;Madrid;CALLE PUERTO DE LA CRUZ VERDE;CALLE PUERTO DE LA CRUZ VERDE 49, Madrid, Spain;40.3859;-3.68597
